,stock_id,stock_name
264,00296,EMPEROR ENTERTAINMENT HOTEL LIMITED
265,00297,SINOFERT HOLDINGS LIMITED
266,00298,CHUANG'S CHINA INVESTMENTS LIMITED
267,00299,GLORY SUN LAND GROUP LIMITED
268,00301,SANVO FINE CHEMICALS GROUP LIMITED
269,00302,CMGE TECHNOLOGY GROUP LIMITED
270,00303,VTECH HOLDINGS LIMITED
271,00305,WULING MOTORS HOLDINGS LIMITED
272,00306,KWOON CHUNG BUS HOLDINGS LIMITED
273,00308,CHINA TRAVEL INTERNATIONAL INVESTMENT HONG KONG LIMITED
274,00309,XINHUA NEWS MEDIA HOLDINGS LIMITED
275,00310,PROSPERITY INVESTMENT HOLDINGS LIMITED
276,00311,LUEN THAI HOLDINGS LIMITED
277,00312,SHIRBLE DEPARTMENT STORE HOLDINGS (CHINA) LIMITED
278,00313,RICHLY FIELD CHINA DEVLOPMENT LIMITED
279,00315,SMARTONE TELECOMMUNICATIONS HOLDINGS LIMITED
280,00316,ORIENT OVERSEAS (INTERNATIONAL) LIMITED
281,00317,CSSC OFFSHORE & MARINE ENGINEERING (GROUP) COMPANY LIMITED
282,00318,VONGROUP LIMITED
283,00320,COMPUTIME GROUP LIMITED
284,00321,TEXWINCA HOLDINGS LIMITED
285,00322,TINGYI (CAYMAN ISLANDS) HOLDING CORP.
286,00323,MAANSHAN IRON & STEEL COMPANY LIMITED
287,00326,CHINA STAR ENTERTAINMENT LIMITED
288,00327,PAX GLOBAL TECHNOLOGY LIMITED
289,00328,ALCO HOLDINGS LIMITED
290,00329,OCI INTERNATIONAL HOLDINGS LIMITED
291,00330,ESPRIT HOLDINGS LIMITED
292,00331,FSE LIFESTYLE SERVICES LIMITED
293,00332,YUAN HENG GAS HOLDINGS LIMITED
294,00333,TOP FORM INTERNATIONAL LIMITED
295,00334,CHINA DISPLAY OPTOELECTRONICS TECHNOLOGY HOLDINGS LIMITED
296,00335,UPBEST GROUP LIMITED
297,00336,HUABAO INTERNATIONAL HOLDINGS LIMITED
298,00337,GREENLAND HONG KONG HOLDINGS LIMITED
299,00338,SINOPEC SHANGHAI PETROCHEMICAL COMPANY LIMITED
300,00339,CORE ECONOMY INVESTMENT GROUP LIMITED
301,00340,TONGGUAN GOLD GROUP LIMITED
302,00341,CAFE DE CORAL HOLDINGS LTD
303,00342,NEWOCEAN ENERGY HOLDINGS LIMITED
304,00343,CULTURECOM HOLDINGS LIMITED
305,00345,VITASOY INTERNATIONAL HOLDINGS LTD
306,00346,YANCHANG PETROLEUM INTERNATIONAL LIMITED
307,00347,ANGANG STEEL COMPANY LIMITED
308,00348,CHINA HEALTHWISE HOLDINGS LIMITED
309,00351,ASIA ENERGY LOGISTICS GROUP LIMITED
310,00352,FORTUNE SUN (CHINA) HOLDINGS LIMITED
311,00353,ENERGY INTERNATIONAL INVESTMENTS HOLDINGS LIMITED
312,00354,CHINASOFT INTERNATIONAL LIMITED
313,00355,CENTURY CITY INTERNATIONAL HOLDINGS LTD
314,00356,DT CAPITAL LIMITED
315,00357,HAINAN MEILAN INTERNATIONAL AIRPORT COMPANY LIMITED
316,00358,JIANGXI COPPER COMPANY LIMITED
317,00359,"CHINA HAISHENG JUICE HOLDINGS CO., LTD."
318,00360,NEW FOCUS AUTO TECH HOLDINGS LIMITED
319,00361,SINO GOLF HOLDINGS LIMITED
320,00362,CHINA ZENITH CHEMICAL GROUP LIMITED
321,00363,SHANGHAI INDUSTRIAL HOLDINGS LIMITED
322,00365,SINO ICT HOLDINGS LIMITED
323,00366,LUKS GROUP (VIETNAM HOLDINGS) COMPANY LIMITED
324,00367,CHUANG'S CONSORTIUM INTERNATIONAL LIMITED
325,00368,SUPERLAND GROUP HOLDINGS LIMITED
326,00369,WING TAI PROPERTIES LIMITED
327,00370,CHINA BEST GROUP HOLDING LIMITED
328,00371,BEIJING ENTERPRISES WATER GROUP LIMITED
329,00372,PT INTERNATIONAL DEVELOPMENT CORPORATION LIMITED
330,00373,ALLIED GROUP LIMITED
331,00374,FOUR SEAS MERCANTILE HOLDINGS LIMITED
332,00375,YGM TRADING LTD
333,00376,YUNFENG FINANCIAL GROUP LIMITED
334,00377,CHINA HUAJUN GROUP LIMITED
335,00378,FDG KINETIC LIMITED
336,00379,"CHINA EVER GRAND FINANCIAL LEASING GROUP CO., LTD"
337,00380,CHINA PIPE GROUP LIMITED
338,00381,KIU HUNG INTERNATIONAL HOLDINGS LIMITED
339,00382,EDVANTAGE GROUP HOLDINGS LIMITED
340,00383,CHINA MEDICAL & HEALTHCARE GROUP LIMITED
341,00384,CHINA GAS HOLDINGS LIMITED
342,00385,CHINNEY ALLIANCE GROUP LIMITED
343,00386,CHINA PETROLEUM & CHEMICAL CORPORATION
344,00387,LEEPORT (HOLDINGS) LIMITED
345,00388,HONG KONG EXCHANGES AND CLEARING LIMITED
346,00389,CHINA TONTINE WINES GROUP LIMITED
347,00390,CHINA RAILWAY GROUP LIMITED
348,00391,MEI AH ENTERTAINMENT GROUP LIMITED
349,00392,BEIJING ENTERPRISES HOLDINGS LIMITED
350,00393,GLORIOUS SUN ENTERPRISES LIMITED
351,00395,SMARTAC INTERNATIONAL HOLDINGS LIMITED
352,00396,HING LEE (HK) HOLDINGS LIMITED
353,00397,POWER FINANCIAL GROUP LIMITED
354,00398,ORIENTAL WATCH HOLDINGS LIMITED
355,00399,INNOVATIVE PHARMACEUTICAL BIOTECH LIMITED
356,00400,"INGDAN, INC."
357,00401,WANJIA GROUP HOLDINGS LIMITED
358,00403,STARLITE HOLDINGS LIMITED
359,00405,YUEXIU REAL ESTATE INVESTMENT TRUST
360,00406,YAU LEE HOLDINGS LIMITED
361,00408,YIP'S CHEMICAL HOLDINGS LIMITED
362,00410,SOHO CHINA LIMITED
363,00411,LAM SOON (HONG KONG) LIMITED
364,00412,CHINA SHANDONG HI-SPEED FINANCIAL GROUP LIMITED-NEW
365,00413,SOUTH CHINA HOLDINGS COMPANY LIMITED
366,00416,"BANK OF JINZHOU CO., LTD."
367,00417,TSE SUI LUEN JEWELLERY (INTERNATIONAL) LIMITED
368,00418,FOUNDER HOLDINGS LIMITED
369,00419,HUAYI TENCENT ENTERTAINMENT COMPANY LIMITED
370,00420,FOUNTAIN SET (HOLDINGS) LTD
371,00422,VIETNAM MANUFACTURING AND EXPORT PROCESSING (HOLDINGS) LIMITED
372,00423,HONG KONG ECONOMIC TIMES HOLDINGS LIMITED
373,00425,MINTH GROUP LIMITED
374,00426,ONE MEDIA GROUP LIMITED
375,00428,COCOON HOLDINGS LIMITED
376,00430,ORIENTAL EXPLORER HOLDINGS LIMITED
377,00431,GREATER CHINA FINANCIAL HOLDINGS LIMITED
378,00432,PACIFIC CENTURY PREMIUM DEVELOPMENTS LIMITED
379,00433,NORTH MINING SHARES COMPANY LIMITED
380,00434,BOYAA INTERACTIVE INTERNATIONAL LIMITED
381,00435,SUNLIGHT REAL ESTATE INVESTMENT TRUST
382,00436,NEW UNIVERSE ENVIRONMENTAL GROUP LIMITED
383,00438,IRICO GROUP NEW ENERGY COMPANY LIMITED
384,00439,KUANGCHI SCIENCE LIMITED
385,00440,DAH SING FINANCIAL HOLDINGS LTD
386,00442,"HIFOOD GROUP HOLDINGS CO., LIMITED"
387,00444,SINCERE WATCH (HONG KONG) LIMITED
388,00450,HUNG HING PRINTING GROUP LIMITED
389,00451,GCL NEW ENERGY HOLDINGS LIMITED
390,00455,TIANDA PHARMACEUTICALS LIMITED
391,00456,NEW CITY DEVELOPMENT GROUP LIMITED
392,00458,TRISTATE HOLDINGS LTD
